IP_Address,DateTime,Date,Time,Lat_Lng,gcl_wbr,bot_yn,Gbot_yn,UsrAgntSHORT
3082,3126,6,5488,127,4,0,0,12
3060,3127,6,5509,127,4,0,0,45
2605,3128,6,5513,127,4,0,0,12
339,3131,6,5540,127,4,0,0,45
2171,3132,6,5548,127,4,0,0,45
2171,3133,6,5550,127,4,0,0,45
352,3133,6,5551,127,4,0,0,12
2339,3133,6,5552,127,4,0,0,45
969,3134,6,5556,127,13,0,0,31
2171,3135,6,5564,127,4,0,0,45
2573,3138,6,5585,127,4,0,0,45
969,3138,6,5586,127,13,0,0,31
1302,3138,6,5587,127,4,0,0,45
2332,3139,6,5607,127,4,0,0,12
1271,3140,6,5619,127,4,0,0,12
2094,3141,6,5621,127,13,0,0,14
3216,3144,6,5641,127,4,0,0,45
3216,3144,6,5642,127,4,0,0,45
3216,3144,6,5643,127,4,0,0,45
2562,3147,6,5679,127,13,0,0,31
3784,3147,6,5680,127,4,0,0,12
2794,3149,6,5704,127,4,0,0,45
2794,3151,6,5723,127,4,0,0,45
3149,3151,6,5727,127,13,0,0,31
927,3289,7,221,127,13,0,0,31
927,3289,7,222,127,13,0,0,31
927,3289,7,223,127,13,0,0,31
927,3289,7,225,127,13,0,0,31
927,3289,7,226,127,13,0,0,31
200,3294,7,272,127,13,0,0,12
73,3297,7,339,127,13,0,0,31
73,3297,7,340,127,13,0,0,31
4000,3298,7,343,127,13,0,0,31
2254,3567,7,3699,127,13,0,0,31
4000,3568,7,3711,127,13,0,0,31
372,3573,7,3773,127,4,0,0,12
1193,3580,7,3843,127,13,0,0,31
1685,3583,7,3879,127,13,0,0,14
1685,3584,7,3882,127,13,0,0,14
1210,3587,7,3897,127,13,0,0,31
1513,3589,7,3931,127,13,0,0,14
1513,3590,7,3932,127,13,0,0,14
823,3590,7,3933,127,13,0,0,31
1258,3593,7,3957,127,4,0,0,31
1258,3594,7,3959,127,13,0,0,31
1258,3594,7,3962,127,13,0,0,31
1258,3594,7,3963,127,13,0,0,31
1258,3594,7,3964,127,13,0,0,31
1258,3594,7,3966,127,13,0,0,31
1210,3595,7,3971,127,13,0,0,31
1210,3596,7,3976,127,13,0,0,31
1136,3599,7,4000,127,4,0,0,31
1136,3599,7,4001,127,4,0,0,31
1193,3733,7,5823,127,13,0,0,31
1193,3733,7,5824,127,13,0,0,31
1193,3733,7,5825,127,13,0,0,31
2084,3733,7,5827,127,13,0,0,31
856,3733,7,5832,127,13,0,0,31
856,3734,7,5834,127,13,0,0,31
856,3734,7,5835,127,13,0,0,31
856,3734,7,5836,127,13,0,0,31
1691,3735,7,5838,127,13,0,0,31
2317,3735,7,5840,127,4,0,0,31
